,fluxes,equ,ec-code,kcat_MW,E
rxn00134,0.002830862471098093,adn_c + atp_c --> adp_c + amp_c + h_c,2.7.1.20,1091.8248962829043,2.5927806562533117e-06
rxn00137,0.02741122262271042,h2o_c + pap_c --> amp_c + pi_c,3.1.3.7,,
rxn00138,1.590685666022412e-05,atp_c + dnad_c + nh4_c --> amp_c + 2.0 h_c + nad_c + ppi_c,6.3.1.5,,
rxn00139_reverse,0.009577392543683151,ade_c + prpp_c --> amp_c + h_c + ppi_c,2.4.2.7,,
rxn00141_num1,0.0,ahcys_c + h2o_c --> adn_c + hcys__L_c,3.3.1.1,10117.694259248334,0.0
rxn00148_reverse,35.30327845171867,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40,,
rxn00154,0.40094473564691513,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,1.2.1.104,7199.999999999998,5.568676883984934e-05
rxn00157_reverse_num1,0.34239682555358875,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54,,
rxn00159,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,,,
rxn00165,0.0,ser__L_c --> nh4_c + pyr_c,4.3.1.17,,
rxn00168,0.0,h_c + pyr_c --> acald_c + co2_c,4.1.1.1,3722.548665594328,0.0
rxn00179,0.05957426526653988,atp_c + glu__L_c --> adp_c + glu5p_c,2.7.2.11,1037.4273683220024,5.742499868969034e-05
rxn00187,2.7304600223857984,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,6.3.1.2,,
rxn00189,0.0,gln__L_c + h2o_c --> glu__L_c + nh4_c,,,
rxn00190,0.0,atp_c + dnad_c + gln__L_c + h2o_c --> amp_c + glu__L_c + 2.0 h_c + nad_c + ppi_c,6.3.5.1,,
rxn00192_num1,0.0,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,2.3.1.1,9.181118427153852,0.0
rxn00193_num1,0.00324798361395915,glu__L_c --> glu__D_c,5.1.1.3,,
rxn00194,0.0,glu__L_c + h_c --> 4abut_c + co2_c,4.1.1.15,,
rxn00198,0.0,icit_c + nadp_c --> akg_c + co2_c + nadph_c,1.1.1.41,,
rxn00199,0.0,cpd03187_c0 + h_c --> akg_c + co2_c,,,
rxn00202,0.0,accoa_c + akg_c + h2o_c --> coa_c + h_c + hcit_c,2.3.3.14,,
rxn00206,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,,,
rxn00208,0.0,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,1.4.3.5,480.811171395535,0.0
rxn00209,0.0,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,1.4.3.5,20.668860624388508,0.0
rxn00211,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,1.1.1.22,,
rxn00213,0.006783266679528273,g1p_c + utp_c --> ppi_c + udpg_c,,,
rxn00214,0.006783266679528272,udpg_c --> udpgal_c,5.1.3.2,,
rxn00216,37.2244882386526,atp_c + glc__D_c --> adp_c + g6p_c + h_c,"2.7.1.1,2.7.1.2",14400000.0,2.585033905461986e-06
rxn00224,0.0,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,,313935.43559406186,0.0
rxn00231,0.0,ad_c + h2o_c --> ac_c + nh4_c,3.5.1.4,,
rxn00237,0.08297679347061329,atp_c + gdp_c --> adp_c + gtp_c,,479017.75980688847,1.732227913722126e-07
rxn00239,0.03424211664474864,atp_c + gmp_c + h_c --> adp_c + gdp_c,2.7.4.8,48655.25040387722,7.037702274782655e-07
rxn00242,0.0,h2o_c + ppgpp_c --> gdp_c + ppi_c,3.1.7.2,,
rxn00251_reverse,0.9145824991255149,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,,,
rxn00256_num1,0.0,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,,
rxn00259_num1,0.0,cpd00442_c0 --> accoa_c + oaa_c,4.1.3.34,,
rxn00260_num1,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c,,,
rxn00262,0.0,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,,,
rxn00272,0.0,ala__L_c + glx_c --> gly_c + pyr_c,2.6.1.44,,
rxn00279,0.0,asp__L_c + h_c --> ala__L_c + co2_c,4.1.1.12,,
rxn00283_num1,0.0064959672279183,ala__L_c --> ala__D_c,5.1.1.1,,
rxn00285,0.09738937933530162,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,,139803.28422150068,6.966172495704781e-07
rxn00293,0.010454416881646155,acgam1p_c + utp_c --> ppi_c + uacgam_c,,79759.87626379488,1.3107363465647313e-07
rxn00299,0.0,gtp_c + h2o_c --> ahdt_c + for_c + 2.0 h_c,3.5.4.16,,
rxn00300_num1,1.932367748441763e-05,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 3.0 h_c + ppi_c,3.5.4.25,,
rxn00301,0.0,gtp_c + h2o_c --> gmp_c + 2.0 h_c + ppi_c,,,
rxn00302,0.0,gtp_c + h2o_c --> cpd03518_c0 + h_c,,,
rxn00303,0.0,atp_c + gtp_c --> amp_c + gdptp_c + 2.0 h_c,2.7.6.5,,
rxn00305,0.0,gtp_c + oaa_c --> co2_c + gdp_c + pep_c,4.1.1.32,,
rxn00313,0.06673017309808589,26dap__M_c + h_c --> co2_c + lys__L_c,4.1.1.20,975.4595997385894,6.840895626632688e-05
rxn00314_num1,0.0,cpd02490_c0 + h2o_c + nadp_c --> h_c + lys__L_c + nadph_c + pyr_c,1.5.1.16,,
rxn00322,0.0,h_c + lys__L_c --> 15dap_c + co2_c,4.1.1.18,,
rxn00328,0.0,4h2oglt_c --> glx_c + pyr_c,4.1.3.16,546.8495698674727,0.0
rxn00337_num1,0.25561361669850136,asp__L_c + atp_c --> 4pasp_c + adp_c,2.7.2.4,,
rxn00338,0.0,asp__L_c + o2_c --> h2o2_c + iasp_c,1.4.3.16,,
rxn00342,0.0,asn__L_c + h2o_c --> asp__L_c + nh4_c,,,
rxn00346,0.0,asp__L_c + h_c --> ala_B_c + co2_c,4.1.1.11,,
rxn00351,0.0,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,6.3.2.3,,
rxn00361,0.02741122262271042,aps_c + atp_c --> adp_c + h_c + paps_c,2.7.1.25,,
rxn00364,0.08459891652370734,atp_c + cmp_c + h_c --> adp_c + cdp_c,,,
rxn00367,0.0,ctp_c + h2o_c --> cmp_c + 2.0 h_c + ppi_c,,,
rxn00379_num1,0.0,atp_c + so4_c --> aps_c + ppi_c,2.7.7.4,674.8470621473621,0.0
rxn00392,1.932367748441763e-05,atp_c + ribflv_c --> adp_c + fmn_c,2.7.1.26,,
rxn00394,0.0,arg__L_c + h2o_c --> orn__L_c + urea_c,3.5.3.1,,
rxn00405,0.0,arg__L_c + h_c --> agm_c + co2_c,,,
rxn00407,0.0,ctp_c + h2o_c + h_c --> nh4_c + utp_c,3.5.4.13,,
rxn00409,0.08459891652370732,atp_c + cdp_c --> adp_c + ctp_c,,479017.75980688847,1.7660914400712949e-07
rxn00410_num1,0.0,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,,49124.27506331472,0.0
rxn00412_num1,0.0,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,6.3.4.2,119.79797304077331,0.0
rxn00414,0.21430026964830423,2.0 atp_c + gln__L_c + h2co3_c + h2o_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,6.3.5.5,9000.375651092578,2.3810147260052396e-05
rxn00416,0.06552993128673294,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + 2.0 h_c + ppi_c,6.3.5.4,,
rxn00420_num1,0.4368927090855361,h2o_c + pser__L_c --> pi_c + ser__L_c,,,
rxn00422,0.0,pyr_c + ser__L_c --> ala__L_c + hpyr_c,2.6.1.51,,
rxn00423,0.005566019551140358,accoa_c + ser__L_c --> acser_c + coa_c,2.3.1.30,,
rxn00427,0.0,h2o2_c + meoh_c --> fald_c + 2.0 h2o_c,1.11.1.6,,
rxn00438,1.3148249409527951e-05,atp_c + thmmp_c --> adp_c + thmpp_c,2.7.4.16,,
rxn00459,36.29181821646645,2pg_c --> h2o_c + pep_c,4.2.1.11,651.6495154183981,0.055692235408423385
rxn00461,0.0032479836139591507,pep_c + uacgam_c --> pi_c + uaccg_c,2.5.1.7,263.98269365535594,1.2303774800478298e-05
rxn00463,0.0,h2o_c + utp_c --> 2.0 h_c + ppi_c + ump_c,,,
rxn00470_num1,6.171569840120692e-05,h_c + orn__L_c --> co2_c + ptrc_c,4.1.1.17,,
rxn00471,0.0,orn__L_c --> nh4_c + pro__L_c,4.3.1.12,,
rxn00474_num1,0.0,indole_c + ser__L_c --> h2o_c + trp__L_c,4.2.1.122,63.87405506623206,0.0
rxn00484,0.0,h_c + trp__L_c --> co2_c + trypta_c,"4.1.1.105,4.1.1.28",,
rxn00493_num1,0.0,akg_c + phe__L_c --> glu__L_c + phpyr_c,,,
rxn00497,0.0,h_c + phe__L_c --> co2_c + peamn_c,"4.1.1.28,4.1.1.53",,
rxn00498,0.010231578622228257,2.0 frdp_c --> h_c + ppi_c + psqldp_c,2.5.1.103,,
rxn00500_num1,0.0,lac__D_c + nad_c --> h_c + nadh_c + pyr_c,1.1.1.28,,
rxn00507,0.0,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,1.2.1.4,,
rxn00508,0.0,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c,,,
rxn00514,0.0,h2o_c + itp_c --> 2.0 h_c + imp_c + ppi_c,,512244.30450989056,0.0
rxn00519,0.0,itp_c + oaa_c --> co2_c + idp_c + pep_c,4.1.1.32,,
rxn00527_num1,0.0,akg_c + tyr__L_c --> 34hpp_c + glu__L_c,,,
rxn00529,0.0,h_c + tyr__L_c --> co2_c + tym_c,"4.1.1.25,4.1.1.28",,
rxn00532,0.0,coa_c + msa_c + nadp_c --> h_c + malcoa_c + nadph_c,1.2.1.75,,
rxn00539,0.0,etha_c --> acald_c + nh4_c,4.3.1.7,,
rxn00541,0.0,thr__L_c --> acald_c + gly_c,"4.1.2.48,4.1.2.5",,
rxn00543_num1,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,1.1.1.1,6635.509136522961,0.0
rxn00544,0.0,acald_c + thmpp_c --> 2ahethmpp_c,4.1.1.1,1798.4932541115452,0.0
rxn00546,0.0,cpd00491_c0 + nad_c --> f6p_c + h_c + nadh_c,,,
rxn00547_num1,0.0,atp_c + fru_c --> adp_c + f6p_c + h_c,,,
rxn00549,0.0,fdp_c + h2o_c --> f6p_c + pi_c,,,
rxn00555,0.019270842560831853,f6p_c + gln__L_c --> gam6p_c + glu__L_c,,89026.39580335334,2.164621221260985e-07
rxn00558,0.13398482363076447,g6p_c --> f6p_c,,212085.91513462987,6.317478628682736e-07
rxn00559,0.0,man6p_c --> f6p_c,,,
rxn00566,0.0,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,"4.4.1.1,4.4.1.28",,
rxn00599,0.0,gly_c + h_c + succoa_c --> 5aop_c + co2_c + coa_c,2.3.1.37,,
rxn00601,0.0,arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,2.3.1.109,,
rxn00604,37.07627163290609,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,1.1.1.49,21854.33682899288,0.0016965178089375448
rxn00609,0.0,mi1p__D_c --> g6p_c,,,
rxn00611_reverse,0.0,dhap_c + h_c + nadh_c --> glyc3p_c + nad_c,,323584.3462556695,0.0
rxn00612_reverse,0.02828129871639075,dhap_c + h_c + nadph_c --> glyc3p_c + nadp_c,,323584.3462556695,8.740008298808501e-08
rxn00623_reverse,0.02741122262271042,4.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,1.8.1.2,8422.426206880087,3.2545518297707163e-06
rxn00633,0.0,fru_p + glc__D_p --> g15lac_p + sbt__D_p,1.1.99.28,3814.367450731087,0.0
rxn00640,0.0,gdp_c + man1p_c --> gdpmann_c + pi_c,2.7.7.22,,
rxn00646,0.0,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,6.3.2.2,,
rxn00649_num1,0.0,acser_c + h2s_c --> ac_c + cys__L_c + h_c,2.5.1.47,,
rxn00650_num1,0.0,cgly_c + h2o_c --> cys__L_c + gly_c,3.4.13.18,,
rxn00655,0.0,cpd01489_c0 + h2o_c + nad_c --> ala_B_c + h_c + nadh_c + pyr_c,1.5.1.26,,
rxn00658,0.0,cpd00788_c0 + h2o_c --> ac_c + ala_B_c,3.5.1.21,,
rxn00678,0.0,mmcoa__S_c + pyr_c --> oaa_c + ppcoa_c,2.1.3.1,8649.35064935065,0.0
rxn00686,0.0,nadp_c + thf_c --> dhf_c + h_c + nadph_c,,,
rxn00690,0.14397966747994614,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,,198180.81187031275,7.265065982985516e-07
rxn00692,0.0,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,,128231.589423781,0.0
rxn00693_num1,0.0,5mthf_c + hcys__L_c --> met__L_c + thf_c,,,
rxn00695,6.715060001975128e-06,atp_c + g1p_c --> adpglc_c + ppi_c,,,
rxn00700,0.0,g1p_c + gtp_c --> cpd00315_c0 + ppi_c,,,
rxn00704_num1,0.006789981739530248,g6p_c --> g1p_c,,,
rxn00707,0.0,cytd_c + itp_c --> cmp_c + h_c + idp_c,,,
rxn00710,0.16679965308526237,h_c + orot5p_c --> co2_c + ump_c,4.1.1.23,,
rxn00714,0.0,cpd03706_c0 + h2o_c --> h_c + ump_c + utp_c,,,
rxn00721,0.0,anth_c + atp_c --> cpd02102_c0 + h_c + ppi_c,,112549.1901999498,0.0
rxn00726,0.014024267890296874,chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c,,,
rxn00727,0.0,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,4.1.3.27,,
rxn00730,0.0,anth_c + malcoa_c --> coa_c + cpd02014_c0,2.3.1.113,,
rxn00735_reverse,0.0,nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c,,155711.24380491095,0.0
rxn00737,0.09572469523890595,thr__L_c --> 2obut_c + nh4_c,4.3.1.19,,
rxn00743,0.0,dhap_c + h2o_c --> dha_c + pi_c,,186465.02376637983,0.0
rxn00747,0.10765654563882705,g3p_c --> dhap_c,5.3.1.1,,
rxn00763_num1,0.001556972419135794,glyc_c + nad_c --> glyald_c + h_c + nadh_c,,,
rxn00770,0.27339401384651596,atp_c + r5p_c --> amp_c + h_c + prpp_c,2.7.6.1,,
rxn00771,0.0,atp_c + r5p_c --> adp_c + h_c + r15bp_c,2.7.1.18,,
rxn00775,0.0,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,,,
rxn00776_num1,0.0,r5p_c + ura_c --> h2o_c + psd5p_c,4.2.1.70,0.3202800562858221,0.0
rxn00777,0.0,r5p_c --> ru5p__D_c,5.3.1.6,,
rxn00780,0.0015569724191357938,atp_c + glyald_c --> adp_c + g3p_c + h_c,2.7.1.28,,
rxn00781,36.72871092555199,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,,81362.16561785607,0.00045142248423008245
rxn00783,0.0,2dh3dgal6p_c --> g3p_c + pyr_c,"4.1.2.21,4.1.2.55",,
rxn00785,0.1147139810699326,f6p_c + g3p_c --> e4p_c + xu5p__D_c,,,
rxn00786,0.0,fdp_c --> dhap_c + g3p_c,,,
rxn00789_num1,0.0,atp_c + prpp_c --> h_c + ppi_c + prbatp_c,2.4.2.17,153.4095672830593,0.0
rxn00790_num1,0.061002874009332866,gln__L_c + h2o_c + prpp_c --> glu__L_c + h_c + ppi_c + pram_c,2.4.2.14,,
rxn00791,0.014024267890296874,anth_c + prpp_c --> h_c + ppi_c + pran_c,2.4.2.18,,
rxn00792,0.0,btamp_c + ppi_c --> atp_c + btn_c,,,
rxn00794,0.0,cpd01301_c0 + h2o_c --> btn_c + nh4_c,3.5.1.12,,
rxn00795,0.0,biocyt_c + h2o_c --> btn_c + lys__L_c,,,
rxn00798,0.0,rib__D_c --> rbl__D_c,,506328.2746194079,0.0
rxn00799,0.0,mal__L_c --> fum_c + h2o_c,,,
rxn00800,0.04873467682586465,dcamp_c --> amp_c + fum_c,4.3.2.2,,
rxn00802,0.04750061656304187,argsuc_c --> arg__L_c + fum_c,4.3.2.1,16243.83406096439,2.9242244401640843e-06
rxn00806,0.0,akg_c + leu__L_c --> 4mop_c + glu__L_c,,,
rxn00816,0.0,h2o_c + lcts_c --> gal_c + glc__D_c,,,
rxn00830,0.0,ipdp_c --> dmpp_c,5.3.3.2,,
rxn00832,0.0,h2o_c + imp_c --> fprica_c,3.5.4.10,,
rxn00834,0.03424211664474863,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,1.1.1.205,,
rxn00838,0.04873467682586465,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,6.3.4.4,83.15922963430822,0.0005860405037441406
rxn00851,0.00324798361395915,2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,6.3.2.4,1395.8065448508612,2.3269582922798155e-06
rxn00853,0.0,Ncbmpts_c + h2o_c + 2.0 h_c --> co2_c + nh4_c + ptrc_c,3.5.1.53,,
rxn00859,0.0,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,1.1.1.23,624.5365674701656,0.0
rxn00861,0.0,accoa_c + his__L_c --> coa_c + cpd01921_c0,,,
rxn00863,0.021973919461280415,cpd01324_c0 + h2o_c + nad_c --> 2.0 h_c + his__L_c + nadh_c,,253552.032036586,8.666433979953162e-08
rxn00866,0.0,h_c + his__L_c --> co2_c + hista_c,4.1.1.22,,
rxn00868,0.0,cpd00650_c0 + h_c + nadh_c --> btcoa_c + nad_c,1.3.1.44,,
rxn00881_num1,0.007441800376208369,h2o_c + mi1p__D_c --> inost_c + pi_c,,,
rxn00882_num1,0.0,h2o_c + mi4p__D_c --> inost_c + pi_c,,,
rxn00883_num1,0.0,h2o_c + mi3p__D_c --> inost_c + pi_c,,,
rxn00898,0.26052574491082137,23dhmb_c --> 3mob_c + h2o_c,,89445.23829948202,2.9126843403169746e-06
rxn00902,0.10129071479004632,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2.3.3.13,,
rxn00903,0.0,akg_c + val__L_c --> 3mob_c + glu__L_c,2.6.1.42,,
rxn00904,0.0,pyr_c + val__L_c --> 3mob_c + ala__L_c,2.6.1.66,,
rxn00905,0.31841090803546107,2dhp_c --> 3mob_c + fald_c,4.1.2.12,,
rxn00907,0.0,mlthf_c + nadp_c --> methf_c + nadph_c,,186835.66473528865,0.0
rxn00912_num1,0.0,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,,40194.81924170695,0.0
rxn00915,0.0,gua_c + prpp_c --> gmp_c + h_c + ppi_c,2.4.2.8,,
rxn00917,0.03424211664474863,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 3.0 h_c + ppi_c,6.3.5.2,204.12538686308076,0.0001677504066053131
rxn00921,0.0,4hbz_c + h_c --> co2_c + phenol_c,4.1.1.61,7344.486071441819,0.0
rxn00927,0.0,adn_c + h2o_c --> ade_c + rib__D_c,3.2.2.7,4.248038232344091,0.0
rxn00931_reverse_num1,0.05957426526653988,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,1.5.1.2,,
rxn00952,-5.461818558171058e-13,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,2.5.1.49,,
rxn00966,0.0,chor_c --> 4hbz_c + pyr_c,4.1.3.40,,
rxn00974,0.20335306563187833,cit_c --> acon_C_c + h2o_c,,,
rxn00980_num1,0.0,2pglyc_c + h2o_c --> glyclt_c + pi_c,3.1.3.18,,
rxn01000,0.002926578945375458,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,4.2.1.51,,
rxn01013,0.0,glyc__R_c + nadp_c --> h_c + hpyr_c + nadph_c,,,
rxn01014,0.0,h_c + hpyr_c --> co2_c + gcald_c,4.1.1.40,,
rxn01018,0.1667996530852624,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,2.1.3.2,894.0981212121212,0.0001865563176210834
rxn01019,0.047500616563041866,cbp_c + orn__L_c --> citr__L_c + h_c + pi_c,,,
rxn01021,0.0,5mta_c + h2o_c --> 5mtr_c + ade_c,"3.2.2.16,3.2.2.9",,
rxn01029,0.0,agm_c + h2o_c --> Ncbmpts_c + nh4_c,3.5.3.12,,
rxn01043,0.0,nadp_c + xylt_c --> h_c + nadph_c + xyl__D_c,1.1.1.307,,
rxn01066,0.0,h2o_c + xolest_hs_c --> chsterol_c + cpd00049_c0 + h_c,,152775.43510965802,0.0
rxn01069,0.15822423736374588,h2o_c + phom_c --> pi_c + thr__L_c,4.2.3.1,,
rxn01100,0.0,3pg_c + atp_c --> 13dpg_c + adp_c,2.7.2.3,23143.90512119773,0.0
rxn01101_num1,0.4368927090855362,3pg_c + nad_c --> 3php_c + h_c + nadh_c,1.1.1.95,,
rxn01102,0.0,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,2.7.1.31,,
rxn01106,0.0,2pg_c --> 3pg_c,,226489.08189805227,0.0
rxn01116,0.0,ru5p__D_c --> xu5p__D_c,5.1.3.1,,
rxn01117,0.0,ara5p_c --> ru5p__D_c,5.3.1.13,,
rxn01127_num1,0.0,atp_c + damp_c + h_c --> adp_c + dadp_c,"2.7.4.11,2.7.4.13",,
rxn01137_num1,0.0007293411284457248,adn_c + h2o_c + h_c --> ins_c + nh4_c,3.5.4.4,,
rxn01143,0.0,atp_c + thymd_c --> adp_c + dtmp_c + h_c,"2.7.1.145,2.7.1.21",130.21045485403937,0.0
rxn01157,0.0,glu__D_c --> cpd01512_c0 + h2o_c,4.2.1.48,,
rxn01171,0.0,glc__D_c --> cpd00190_c0,5.1.3.3,,
rxn01200,0.0793593400657761,g3p_c + s7p_c --> r5p_c + xu5p__D_c,2.2.1.1,,
rxn01207,0.0,4mop_c + coa_c + nad_c --> co2_c + ivcoa_c + nadh_c,1.2.1.25,,
rxn01208,0.10129071479004631,3c4mop_c + h_c --> 4mop_c + co2_c,,155711.24380491095,6.505035366421736e-07
rxn01210,0.0,10fthf_c + atp_c + glu__L_c --> 10fthfglu__L_c + adp_c + h_c + pi_c,,,
rxn01213,0.020463157244456513,dmpp_c + ipdp_c --> grdp_c + h_c + ppi_c,2.5.1.1,,
rxn01216,0.0,13dpg_c --> 23dpg_c + h_c,5.4.2.4,,
rxn01219,0.0,atp_c + dcmp_c + h_c --> adp_c + dcdp_c,,,
rxn01222,0.0,dctp_c + h2o_c --> dcmp_c + 2.0 h_c + ppi_c,,,
rxn01225_num1,0.0,gua_c + h2o_c + h_c --> nh4_c + xan_c,3.5.4.3,,
rxn01231,0.0,Lcyst_c + h_c --> co2_c + taur_c,4.1.1.29,,
rxn01241,0.0,dhlam_c + nad_c --> h_c + lpam_c + nadh_c,,118093.39054942469,0.0
rxn01255,0.035354641004156515,3psme_c --> chor_c + pi_c,4.2.3.5,10.310836898674737,0.0034288818018933737
rxn01256,0.021330373113859633,chor_c --> pphn_c,5.4.99.5,,
rxn01257_num1,0.0,chor_c + gln__L_c --> 4adcho_c + glu__L_c,2.6.1.85,,
rxn01265,0.0,nac_c + prpp_c --> nicrnt_c + ppi_c,6.3.4.21,,
rxn01268,0.018403794168484176,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,1.3.1.12,2051.511653302549,8.970845541558352e-06
rxn01269,0.0,nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c,1.3.1.13,919.2349692677296,0.0
rxn01270_num1,0.0,Largn_c + oaa_c --> asp__L_c + pphn_c,2.6.1.78,,
rxn01274,0.0,h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c,3.1.2.6,,
rxn01275,0.0,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,2.7.1.12,,
rxn01291,0.0,abt__L_c + nadp_c --> arab__L_c + h_c + nadph_c,1.1.1.21,,
rxn01292,0.0,arab__L_c --> rbl__L_c,5.3.1.4,,
rxn01300,0.15822423736374588,atp_c + hom__L_c --> adp_c + h_c + phom_c,2.7.1.39,2148.106670399664,7.365753272127199e-05
rxn01301_reverse,0.0,aspsa_c + h_c + nadh_c --> hom__L_c + nad_c,,,
rxn01302_reverse,0.1856354599864563,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,,
rxn01303_num1,-5.461818558171058e-13,accoa_c + hom__L_c --> achms_c + coa_c,2.3.1.31,621.4009955080734,-8.789523347488904e-16
rxn01304,0.027411222623256595,hom__L_c + succoa_c --> coa_c + suchms_c,2.3.1.46,,
rxn01329,0.0,man6p_c --> man1p_c,5.4.2.8,,
