,fluxes,equ,ec-code,kcat_MW,E
rxn00206,0.0,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,,,
rxn00208,0.0,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,1.4.3.5,241.5319851,0.0
rxn00209,0.0,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,1.4.3.5,242.2029344,0.0
rxn00211,0.0,h2o_c + 2.0 nad_c + udpg_c --> 3.0 h_c + 2.0 nadh_c + udpglcur_c,1.1.1.22,968.2162168,0.0
rxn00213,0.000737329715438492,g1p_c + utp_c --> ppi_c + udpg_c,,401.1806372,1.8378995571287058e-06
rxn00214,0.0007373297154384919,udpg_c --> udpgal_c,5.1.3.2,,
rxn00216,7.363963218744314,atp_c + glc__D_c --> adp_c + g6p_c + h_c,"2.7.1.1,2.7.1.2",2978.531378,0.0024723470342249703
rxn00224,0.0,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,,594.6885443,0.0
rxn00231,0.0,ad_c + h2o_c --> ac_c + nh4_c,3.5.1.4,628.1193682,0.0
rxn00237,0.009021166966178685,atp_c + gdp_c --> adp_c + gtp_c,,,
rxn00239,0.0037234248298747504,atp_c + gmp_c + h_c --> adp_c + gdp_c,2.7.4.8,,
rxn00242,0.0,h2o_c + ppgpp_c --> gdp_c + ppi_c,3.1.7.2,179.7690448,0.0
rxn00251_reverse,0.09941992593847021,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,,77.57545753,0.0012815899397051254
rxn00256_num1,0.022105501458311763,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,,495.8515847,4.458088295046194e-05
rxn00259_num1,0.0,cpd00442_c0 --> accoa_c + oaa_c,4.1.3.34,,
rxn00260_num1,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c,,349.5308662,0.0
rxn00262,0.0,asp__L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c,,125.3285371,0.0
rxn00272,0.0,ala__L_c + glx_c --> gly_c + pyr_c,2.6.1.44,,
rxn00279,0.0,asp__L_c + h_c --> ala__L_c + co2_c,4.1.1.12,369.0873126,0.0
rxn00283_num1,0.000706100746726334,ala__L_c --> ala__D_c,5.1.1.1,,
rxn00285,0.00998104526012348,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,,361.6405056,2.759935655870148e-05
rxn00293,0.0011363775874658059,acgam1p_c + utp_c --> ppi_c + uacgam_c,,334.0568652,3.401748941113532e-06
rxn00299,1.3641599203779051e-06,gtp_c + h2o_c --> ahdt_c + for_c + 2.0 h_c,3.5.4.16,,
rxn00300_num1,2.1004513450445214e-06,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 3.0 h_c + ppi_c,3.5.4.25,,
rxn00301,0.0,gtp_c + h2o_c --> gmp_c + 2.0 h_c + ppi_c,,,
rxn00302,0.0,gtp_c + h2o_c --> cpd03518_c0 + h_c,,,
rxn00303,0.0,atp_c + gtp_c --> amp_c + gdptp_c + 2.0 h_c,2.7.6.5,,
rxn00305,0.0,gtp_c + oaa_c --> co2_c + gdp_c + pep_c,4.1.1.32,866.629802,0.0
rxn00313,0.007253457937908264,26dap__M_c + h_c --> co2_c + lys__L_c,4.1.1.20,496.4660068,1.4610180432414378e-05
rxn00314_num1,0.0,cpd02490_c0 + h2o_c + nadp_c --> h_c + lys__L_c + nadph_c + pyr_c,1.5.1.16,248.3342638,0.0
rxn00322,0.0,h_c + lys__L_c --> 15dap_c + co2_c,4.1.1.18,168.2058005,0.0
rxn00328,0.0,4h2oglt_c --> glx_c + pyr_c,4.1.3.16,,
rxn00337_num1,0.027784771580824333,asp__L_c + atp_c --> 4pasp_c + adp_c,2.7.2.4,1573.366206,1.7659443475312786e-05
rxn00338,0.0,asp__L_c + o2_c --> h2o2_c + iasp_c,1.4.3.16,125.3285371,0.0
rxn00342,0.0,asn__L_c + h2o_c --> asp__L_c + nh4_c,,84.82731393,0.0
rxn00346,7.912761387104422e-07,asp__L_c + h_c --> ala_B_c + co2_c,4.1.1.11,276.9446007,2.8571639840980013e-09
rxn00351,0.0,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,6.3.2.3,972.6439184,0.0
rxn00361,0.002980345218374366,aps_c + atp_c --> adp_c + h_c + paps_c,2.7.1.25,264.0739722,1.1286024114929287e-05
rxn00364,0.009195760390061479,atp_c + cmp_c + h_c --> adp_c + cdp_c,,,
rxn00367,0.0,ctp_c + h2o_c --> cmp_c + 2.0 h_c + ppi_c,,,
rxn00379_num1,0.0029803452183743656,atp_c + so4_c --> aps_c + ppi_c,2.7.7.4,,
rxn00392,2.1004513450445222e-06,atp_c + ribflv_c --> adp_c + fmn_c,2.7.1.26,180.069109,1.166469560886494e-08
rxn00394,0.0,arg__L_c + h2o_c --> orn__L_c + urea_c,3.5.3.1,322.7094727,0.0
rxn00405,0.0,arg__L_c + h_c --> agm_c + co2_c,,238.6773723,0.0
rxn00407,0.0,ctp_c + h2o_c + h_c --> nh4_c + utp_c,3.5.4.13,,
rxn00409,0.009195760390061479,atp_c + cdp_c --> adp_c + ctp_c,,,
rxn00410_num1,0.0029463288610601106,atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c,,,
rxn00412_num1,0.0,atp_c + gln__L_c + h2o_c + utp_c --> adp_c + ctp_c + glu__L_c + 2.0 h_c + pi_c,6.3.4.2,43.33378312,0.0
rxn00414,0.02329617312606454,2.0 atp_c + gln__L_c + h2co3_c + h2o_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,6.3.5.5,147.0358049,0.00015843877715300992
rxn00416,0.007122993665304465,asp__L_c + atp_c + gln__L_c + h2o_c --> amp_c + asn__L_c + glu__L_c + 2.0 h_c + ppi_c,6.3.5.4,,
rxn00420_num1,0.0,h2o_c + pser__L_c --> pi_c + ser__L_c,,307.5857062,0.0
rxn00422,0.0,pyr_c + ser__L_c --> ala__L_c + hpyr_c,2.6.1.51,,
rxn00423,0.0006058082695223183,accoa_c + ser__L_c --> acser_c + coa_c,2.3.1.30,1086.133077,5.577661543975962e-07
rxn00427,0.0,h2o2_c + meoh_c --> fald_c + 2.0 h2o_c,1.11.1.6,324.7359293,0.0
rxn00438,1.4291926668562223e-06,atp_c + thmmp_c --> adp_c + thmpp_c,2.7.4.16,285.0781839,5.013335806003155e-09
rxn00459,7.26257338763693,2pg_c --> h2o_c + pep_c,4.2.1.11,,
rxn00461,0.000353050373363167,pep_c + uacgam_c --> pi_c + uaccg_c,2.5.1.7,268.1581512,1.3165752067698734e-06
rxn00463,0.0,h2o_c + utp_c --> 2.0 h_c + ppi_c + ump_c,,,
rxn00470_num1,6.70839294547892e-06,h_c + orn__L_c --> co2_c + ptrc_c,4.1.1.17,276.3751514,2.4272778907571934e-08
rxn00471,0.0,orn__L_c --> nh4_c + pro__L_c,4.3.1.12,,
rxn00474_num1,0.0,indole_c + ser__L_c --> h2o_c + trp__L_c,4.2.1.122,104.3401959,0.0
rxn00484,0.0,h_c + trp__L_c --> co2_c + trypta_c,"4.1.1.105,4.1.1.28",220.3390891,0.0
rxn00493_num1,0.0,akg_c + phe__L_c --> glu__L_c + phpyr_c,,1701.566894,0.0
rxn00497,0.0,h_c + phe__L_c --> co2_c + peamn_c,"4.1.1.28,4.1.1.53",46.50355451,0.0
rxn00498,0.00111215544227118,2.0 frdp_c --> h_c + ppi_c + psqldp_c,2.5.1.103,,
rxn00500_num1,0.0,lac__D_c + nad_c --> h_c + nadh_c + pyr_c,1.1.1.28,126.5082081,0.0
rxn00507,0.02178708433360512,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,1.2.1.4,1796.222326,1.212939178978066e-05
rxn00508,0.0,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c,,2287.065018,0.0
rxn00514,0.0,h2o_c + itp_c --> 2.0 h_c + imp_c + ppi_c,,,
rxn00519,0.0,itp_c + oaa_c --> co2_c + idp_c + pep_c,4.1.1.32,165.5655199,0.0
rxn00527_num1,0.0,akg_c + tyr__L_c --> 34hpp_c + glu__L_c,,,
rxn00529,0.0,h_c + tyr__L_c --> co2_c + tym_c,"4.1.1.25,4.1.1.28",26.23910696,0.0
rxn00532,0.0,coa_c + msa_c + nadp_c --> h_c + malcoa_c + nadph_c,1.2.1.75,495.6025276,0.0
rxn00539,0.0,etha_c --> acald_c + nh4_c,4.3.1.7,,
rxn00541,0.0,thr__L_c --> acald_c + gly_c,"4.1.2.48,4.1.2.5",,
rxn00543_num1,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,1.1.1.1,141.4562359,0.0
rxn00544,0.0,acald_c + thmpp_c --> 2ahethmpp_c,4.1.1.1,147.6150539,0.0
rxn00546,0.0,cpd00491_c0 + nad_c --> f6p_c + h_c + nadh_c,,,
rxn00547_num1,0.0,atp_c + fru_c --> adp_c + f6p_c + h_c,,,
rxn00549,0.0,fdp_c + h2o_c --> f6p_c + pi_c,,591.7095287,0.0
rxn00555,0.002094708277432234,f6p_c + gln__L_c --> gam6p_c + glu__L_c,,76.01671315,2.7555891206435753e-05
rxn00558,0.014567747430866461,g6p_c --> f6p_c,,,
rxn00559,0.0,man6p_c --> f6p_c,,,
rxn00566,0.0,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,"4.4.1.1,4.4.1.28",1382.287136,0.0
rxn00599,0.0,gly_c + h_c + succoa_c --> 5aop_c + co2_c + coa_c,2.3.1.37,554.9322472,0.0
rxn00601,0.0,arg__L_c + succoa_c --> coa_c + h_c + sucarg_c,2.3.1.109,299.6736916,0.0
rxn00604,0.4199331499993924,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,1.1.1.49,501.6566703,0.0008370927266815063
rxn00609,0.0,mi1p__D_c --> g6p_c,,,
rxn00611_reverse,0.0,dhap_c + h_c + nadh_c --> glyc3p_c + nad_c,,1962.650898,0.0
rxn00612_reverse,0.003074129754874615,dhap_c + h_c + nadph_c --> glyc3p_c + nadp_c,,922.9171254,3.3308838575752526e-06
rxn00623_reverse,0.0029803452183743656,4.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,1.8.1.2,,
rxn00633,0.0,fru_p + glc__D_p --> g15lac_p + sbt__D_p,1.1.99.28,168.8271391,0.0
rxn00640,0.0,gdp_c + man1p_c --> gdpmann_c + pi_c,2.7.7.22,423.9131886,0.0
rxn00646,0.0,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,6.3.2.2,220.9321235,0.0
rxn00649_num1,0.0006058082695223182,acser_c + h2s_c --> ac_c + cys__L_c + h_c,2.5.1.47,,
rxn00650_num1,0.0,cgly_c + h2o_c --> cys__L_c + gly_c,3.4.13.18,689.9517224,0.0
rxn00655,0.0,cpd01489_c0 + h2o_c + nad_c --> ala_B_c + h_c + nadh_c + pyr_c,1.5.1.26,512.3539998,0.0
rxn00658,0.0,cpd00788_c0 + h2o_c --> ac_c + ala_B_c,3.5.1.21,341.8117557,0.0
rxn00678,0.0,mmcoa__S_c + pyr_c --> oaa_c + ppcoa_c,2.1.3.1,91.27551862,0.0
rxn00686,0.0,nadp_c + thf_c --> dhf_c + h_c + nadph_c,,508.8258694,0.0
rxn00690,0.01565380572774593,atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c,,399.4842144,3.9185042020388605e-05
rxn00692,0.0,gly_c + h2o_c + mlthf_c --> ser__L_c + thf_c,,132.6143922,0.0
rxn00693_num1,0.0,5mthf_c + hcys__L_c --> met__L_c + thf_c,,124.9393944,0.0
rxn00695,7.299157639417829e-07,atp_c + g1p_c --> adpglc_c + ppi_c,,,
rxn00700,0.0,g1p_c + gtp_c --> cpd00315_c0 + ppi_c,,417.7971633,0.0
rxn00704_num1,0.0007380596312024336,g6p_c --> g1p_c,,,
rxn00707,0.0,cytd_c + itp_c --> cmp_c + h_c + idp_c,,3655.373505,0.0
rxn00710,0.01813293574380432,h_c + orot5p_c --> co2_c + ump_c,4.1.1.23,936.0051289,1.9372688443613847e-05
rxn00714,0.0,cpd03706_c0 + h2o_c --> h_c + ump_c + utp_c,,,
rxn00721,0.0,anth_c + atp_c --> cpd02102_c0 + h_c + ppi_c,,96.10148862,0.0
rxn00726,0.0015244144069984998,chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c,,105.5984348,1.443595645982529e-05
rxn00727,0.0,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,4.1.3.27,153.4548233,0.0
rxn00730,0.0,anth_c + malcoa_c --> coa_c + cpd02014_c0,2.3.1.113,982.7576862,0.0
rxn00735_reverse,0.0,nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c,,158.6406994,0.0
rxn00737,0.011010130876632449,thr__L_c --> 2obut_c + nh4_c,4.3.1.19,,
rxn00743,0.0,dhap_c + h2o_c --> dha_c + pi_c,,584.038729,0.0
rxn00747,0.011702086017129023,g3p_c --> dhap_c,5.3.1.1,,
rxn00763_num1,0.00016924029158570705,glyc_c + nad_c --> glyald_c + h_c + nadh_c,,,
rxn00770,0.029721292677953676,atp_c + r5p_c --> amp_c + h_c + prpp_c,2.7.6.1,44.99427768,0.0006605571688322673
rxn00771,0.0,atp_c + r5p_c --> adp_c + h_c + r15bp_c,2.7.1.18,117.2733763,0.0
rxn00775,0.0,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,,447.7434089,0.0
rxn00776_num1,0.0,r5p_c + ura_c --> h2o_c + psd5p_c,4.2.1.70,270.9444291,0.0
rxn00777,0.0,r5p_c --> ru5p__D_c,5.3.1.6,,
rxn00780,0.00016924029158570705,atp_c + glyald_c --> adp_c + g3p_c + h_c,2.7.1.28,452.4467574,3.740557067051422e-07
rxn00781,7.310065412541531,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,,207.5229304,0.03522533822383578
rxn00783,0.0,2dh3dgal6p_c --> g3p_c + pyr_c,"4.1.2.21,4.1.2.55",,
rxn00785,0.012473039153434227,f6p_c + g3p_c --> e4p_c + xu5p__D_c,,467.9475572,2.665477992463004e-05
rxn00786,0.0,fdp_c --> dhap_c + g3p_c,,,
rxn00789_num1,0.0,atp_c + prpp_c --> h_c + ppi_c + prbatp_c,2.4.2.17,375.1770588,0.0
rxn00790_num1,0.0,gln__L_c + h2o_c + prpp_c --> glu__L_c + h_c + ppi_c + pram_c,2.4.2.14,430.6918671,0.0
rxn00791,0.0015244144069985,anth_c + prpp_c --> h_c + ppi_c + pran_c,2.4.2.18,410.2199363,3.7160904970831863e-06
rxn00792,0.0,btamp_c + ppi_c --> atp_c + btn_c,,492.2446479,0.0
rxn00794,0.0,cpd01301_c0 + h2o_c --> btn_c + nh4_c,3.5.1.12,,
rxn00795,0.0,biocyt_c + h2o_c --> btn_c + lys__L_c,,,
rxn00798,0.0,rib__D_c --> rbl__D_c,,,
rxn00799,0.0,mal__L_c --> fum_c + h2o_c,,,
rxn00800,0.005297742136303933,dcamp_c --> amp_c + fum_c,4.3.2.2,,
rxn00802,0.005163237382260227,argsuc_c --> arg__L_c + fum_c,4.3.2.1,,
rxn00806,0.0,akg_c + leu__L_c --> 4mop_c + glu__L_c,,847.4992827,0.0
rxn00816,0.0,h2o_c + lcts_c --> gal_c + glc__D_c,,133.3614971,0.0
rxn00830,0.0,ipdp_c --> dmpp_c,5.3.3.2,,
rxn00832,0.0,h2o_c + imp_c --> fprica_c,3.5.4.10,,
rxn00834,0.0037234248298747496,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,1.1.1.205,,
rxn00838,0.005297742136303934,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,6.3.4.4,113.9699608,4.6483670777080184e-05
rxn00851,0.00035305037336316703,2.0 ala__D_c + atp_c --> adp_c + alaala_c + h_c + pi_c,6.3.2.4,584.8318806,6.03678398997264e-07
rxn00853,0.0,Ncbmpts_c + h2o_c + 2.0 h_c --> co2_c + nh4_c + ptrc_c,3.5.1.53,1081.815895,0.0
rxn00859,0.002388528204611434,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,1.1.1.23,444.436115,5.374289181272845e-06
rxn00861,0.0,accoa_c + his__L_c --> coa_c + cpd01921_c0,,439.0956549,0.0
rxn00863,0.0,cpd01324_c0 + h2o_c + nad_c --> 2.0 h_c + his__L_c + nadh_c,,220.3909957,0.0
rxn00866,0.0,h_c + his__L_c --> co2_c + hista_c,4.1.1.22,116.2533349,0.0
rxn00868,0.0,cpd00650_c0 + h_c + nadh_c --> btcoa_c + nad_c,1.3.1.44,,
rxn00881_num1,0.0,h2o_c + mi1p__D_c --> inost_c + pi_c,,518.7745805,0.0
rxn00882_num1,0.0,h2o_c + mi4p__D_c --> inost_c + pi_c,,243.6694092,0.0
rxn00883_num1,0.0008089112241893117,h2o_c + mi3p__D_c --> inost_c + pi_c,,,
rxn00898,0.028319502958111947,23dhmb_c --> 3mob_c + h2o_c,,,
rxn00902,0.011010130876632445,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,2.3.3.13,161.0172243,6.837859070355645e-05
rxn00903,0.0,akg_c + val__L_c --> 3mob_c + glu__L_c,2.6.1.42,1099.819808,0.0
rxn00904,0.03616170886305948,pyr_c + val__L_c --> 3mob_c + ala__L_c,2.6.1.66,,
rxn00905,0.034611669221298366,2dhp_c --> 3mob_c + fald_c,4.1.2.12,,
rxn00907,0.0,mlthf_c + nadp_c --> methf_c + nadph_c,,1753.456383,0.0
rxn00912_num1,0.0,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,,38.68185343,0.0
rxn00915,0.0,gua_c + prpp_c --> gmp_c + h_c + ppi_c,2.4.2.8,,
rxn00917,0.00372342482987475,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 3.0 h_c + ppi_c,6.3.5.2,166.350659,2.238298815440671e-05
rxn00921,0.0,4hbz_c + h_c --> co2_c + phenol_c,4.1.1.61,345.6524279,0.0
rxn00927,0.0,adn_c + h2o_c --> ade_c + rib__D_c,3.2.2.7,479.2351433,0.0
rxn00931_reverse_num1,0.0,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,1.5.1.2,267.9716906,0.0
rxn00952,0.0,achms_c + h2s_c --> ac_c + h_c + hcys__L_c,2.5.1.49,24.83137394,0.0
rxn00966,0.0,chor_c --> 4hbz_c + pyr_c,4.1.3.40,,
rxn00974,0.022105501458311763,cit_c --> acon_C_c + h2o_c,,,
rxn00980_num1,0.0,2pglyc_c + h2o_c --> glyclt_c + pi_c,3.1.3.18,,
rxn01000,0.0003181142247457727,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,4.2.1.51,449.6614284,7.074527736961944e-07
rxn01013,0.0,glyc__R_c + nadp_c --> h_c + hpyr_c + nadph_c,,,
rxn01014,0.0,h_c + hpyr_c --> co2_c + gcald_c,4.1.1.40,,
rxn01018,0.018132935743804316,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,2.1.3.2,29.22292517,0.0006205037872943476
rxn01019,0.005163237382260226,cbp_c + orn__L_c --> citr__L_c + h_c + pi_c,,457.1329548,1.1294826435165216e-05
rxn01021,0.0,5mta_c + h2o_c --> 5mtr_c + ade_c,"3.2.2.16,3.2.2.9",,
rxn01029,0.0,agm_c + h2o_c --> Ncbmpts_c + nh4_c,3.5.3.12,886.2827034,0.0
rxn01043,0.0,nadp_c + xylt_c --> h_c + nadph_c + xyl__D_c,1.1.1.307,,
rxn01066,0.0,h2o_c + xolest_hs_c --> chsterol_c + cpd00049_c0 + h_c,,436.2951778,0.0
rxn01069,0.017803726320700847,h2o_c + phom_c --> pi_c + thr__L_c,4.2.3.1,506.9071962,3.512225996033482e-05
rxn01100,0.0,3pg_c + atp_c --> 13dpg_c + adp_c,2.7.2.3,617.3409013,0.0
rxn01101_num1,0.04749202490460167,3pg_c + nad_c --> 3php_c + h_c + nadh_c,1.1.1.95,,
rxn01102,0.0,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,2.7.1.31,844.5830943,0.0
rxn01106,0.0,2pg_c --> 3pg_c,,,
rxn01116,0.0,ru5p__D_c --> xu5p__D_c,5.1.3.1,,
rxn01117,0.0,ara5p_c --> ru5p__D_c,5.3.1.13,,
rxn01127_num1,0.0,atp_c + damp_c + h_c --> adp_c + dadp_c,"2.7.4.11,2.7.4.13",,
rxn01137_num1,0.0,adn_c + h2o_c + h_c --> ins_c + nh4_c,3.5.4.4,188.7739362,0.0
rxn01143,0.0,atp_c + thymd_c --> adp_c + dtmp_c + h_c,"2.7.1.145,2.7.1.21",346.7166712,0.0
rxn01157,0.0,glu__D_c --> cpd01512_c0 + h2o_c,4.2.1.48,,
rxn01171,0.0,glc__D_c --> cpd00190_c0,5.1.3.3,,
rxn01200,0.008626227213604764,g3p_c + s7p_c --> r5p_c + xu5p__D_c,2.2.1.1,152.7484788,5.647340832048119e-05
rxn01207,0.0,4mop_c + coa_c + nad_c --> co2_c + ivcoa_c + nadh_c,1.2.1.25,,
rxn01208,0.011010130876632449,3c4mop_c + h_c --> 4mop_c + co2_c,,144.6707492,7.61047477635683e-05
rxn01210,0.0,10fthf_c + atp_c + glu__L_c --> 10fthfglu__L_c + adp_c + h_c + pi_c,,789.3204813,0.0
rxn01213,0.00222431088454236,dmpp_c + ipdp_c --> grdp_c + h_c + ppi_c,2.5.1.1,350.494879,6.346200808663912e-06
rxn01216,0.0,13dpg_c --> 23dpg_c + h_c,5.4.2.4,,
rxn01219,0.0,atp_c + dcmp_c + h_c --> adp_c + dcdp_c,,,
rxn01222,0.0,dctp_c + h2o_c --> dcmp_c + 2.0 h_c + ppi_c,,,
rxn01225_num1,0.0,gua_c + h2o_c + h_c --> nh4_c + xan_c,3.5.4.3,496.55961,0.0
rxn01231,0.0,Lcyst_c + h_c --> co2_c + taur_c,4.1.1.29,173.4680912,0.0
rxn01241,0.0,dhlam_c + nad_c --> h_c + lpam_c + nadh_c,,410.2688695,0.0
rxn01255,0.0038443543625166295,3psme_c --> chor_c + pi_c,4.2.3.5,,
rxn01256,0.0023185757955977524,chor_c --> pphn_c,5.4.99.5,,
rxn01257_num1,0.0,chor_c + gln__L_c --> 4adcho_c + glu__L_c,2.6.1.85,543.0333708,0.0
rxn01265,0.0,nac_c + prpp_c --> nicrnt_c + ppi_c,6.3.4.21,,
